,user,text,favorite_count,retweet_count,created_at
0,elonmusk,@cb_doge @Tesla @mayemusk And then was at Twitter HQ past midnight. Very long day.,28762,1172,2023-01-26 09:13:04+00:00
1,elonmusk,@micsolana lol,7216,271,2023-01-26 03:11:35+00:00
2,elonmusk,@dogeofficialceo Will dig in,6735,307,2023-01-26 03:07:35+00:00
3,elonmusk,Congrats Tesla California factory team on all-time record production! https://t.co/1aF53hgWgM,89727,4857,2023-01-26 03:04:55+00:00
4,elonmusk,@EvaFoxU Tweetception,37211,1055,2023-01-26 00:24:04+00:00
5,elonmusk,@BillyM2k 🎯,4336,220,2023-01-26 00:23:20+00:00
6,elonmusk,@PeterDiamandis 🙏,8952,254,2023-01-25 22:18:23+00:00
7,elonmusk,@TimRunsHisMouth 🤣,5025,260,2023-01-25 22:17:51+00:00
8,elonmusk,@RNCResearch 🤨,31426,1533,2023-01-25 22:16:12+00:00
9,elonmusk,@SenSchumer @RepJeffries Do you write your own tweets? I recommend it.,68864,3887,2023-01-25 22:13:43+00:00
10,elonmusk,"Changed my name to Mr. Tweet, now Twitter won’t let me change it back 🤣",595513,39180,2023-01-25 22:11:46+00:00
11,elonmusk,"@BLKMDL3 Same, Mexico rocks! 🇲🇽",41999,2948,2023-01-25 22:02:22+00:00
12,elonmusk,@udiWertheimer @BillyM2k 🤣,2752,122,2023-01-25 20:29:36+00:00
13,elonmusk,"@ScottAdamsSays Yes, but this was not disclosed to the public for a long time after the government and vaccine makers knew. Not cool.

That said, obviously if someone is coughing less, there is some reduction in transmission.",24986,2788,2023-01-25 20:28:44+00:00
14,elonmusk,@BillyM2k @dogeofficialceo 🤣,2222,125,2023-01-25 20:15:14+00:00
15,elonmusk,Starship fully loaded with cryogenic propellant https://t.co/GbyEshomft,103056,8290,2023-01-25 19:04:28+00:00
16,elonmusk,@DavidSacks Wow,8181,418,2023-01-25 19:00:26+00:00
17,elonmusk,@WholeMarsBlog Lmaooo,20269,596,2023-01-25 18:48:09+00:00
18,elonmusk,"@thevivafrei First I’ve heard. It is not possible for me to fix every aspect of Twitter worldwide overnight, while still running Tesla and SpaceX, among other things.",59709,3084,2023-01-25 18:46:45+00:00
19,elonmusk,@tim_zaman @sedielem Gaming rocks,1567,94,2023-01-25 18:23:20+00:00
20,elonmusk,@JoeyFromPhilly Will do a thorough review over the next week,4687,245,2023-01-25 18:22:29+00:00
21,elonmusk,@StockMKTNewz @BillyM2k @dogeofficialceo No,2925,222,2023-01-25 18:20:24+00:00
22,elonmusk,"@BillyM2k @dogeofficialceo Yeah. The corpo media shills clearly have their marching orders to write hit pieces on me these days, but the articles are painfully boring.

Reading them is like getting a tranquilizer dart in the jugular.",5780,462,2023-01-25 18:18:47+00:00
